variable,codigo,descripcion,categoria
COD_DPTO,05,Antioquia,Departamento
COD_DPTO,08,Atlántico,Departamento
COD_DPTO,11,Bogotá,Departamento
COD_DPTO,13,Bolívar,Departamento
COD_DPTO,15,Boyacá,Departamento
COD_DPTO,17,Caldas,Departamento
COD_DPTO,18,Caquetá,Departamento
COD_DPTO,19,Cauca,Departamento
COD_DPTO,20,Cesar,Departamento
COD_DPTO,23,Córdoba,Departamento
COD_DPTO,25,Cundinamarca,Departamento
COD_DPTO,27,Chocó,Departamento
COD_DPTO,41,Huila,Departamento
COD_DPTO,44,La Guajira,Departamento
COD_DPTO,47,Magdalena,Departamento
COD_DPTO,50,Meta,Departamento
COD_DPTO,52,Nariño,Departamento
COD_DPTO,54,Norte de Santander,Departamento
COD_DPTO,63,Quindío,Departamento
COD_DPTO,66,Risaralda,Departamento
COD_DPTO,68,Santander,Departamento
COD_DPTO,70,Sucre,Departamento
COD_DPTO,73,Tolima,Departamento
COD_DPTO,76,Valle del Cauca,Departamento
COD_DPTO,81,Arauca,Departamento
COD_DPTO,85,Casanare,Departamento
COD_DPTO,86,Putumayo,Departamento
COD_DPTO,88,San Andrés y Providencia,Departamento
COD_DPTO,91,Amazonas,Departamento
COD_DPTO,94,Guainía,Departamento
COD_DPTO,95,Guaviare,Departamento
COD_DPTO,97,Vaupés,Departamento
COD_DPTO,99,Vichada,Departamento
A_DEFUN,1,Cabecera municipal,Área
A_DEFUN,2,Centro poblado,Área
A_DEFUN,3,Rural disperso,Área
A_DEFUN,9,Sin información,Área
SIT_DEFUN,1,Hospital/clínica,Sitio
SIT_DEFUN,2,Centro/puesto de salud,Sitio
SIT_DEFUN,3,Casa/domicilio,Sitio
SIT_DEFUN,4,Lugar de trabajo,Sitio
SIT_DEFUN,5,Vía pública,Sitio
SIT_DEFUN,6,Otro,Sitio
SIT_DEFUN,9,Sin información,Sitio
TIPO_DEFUN,1,Defunción fetal,Tipo
MES,01,Enero,Mes
MES,02,Febrero,Mes
MES,03,Marzo,Mes
MES,04,Abril,Mes
MES,05,Mayo,Mes
MES,06,Junio,Mes
MES,07,Julio,Mes
MES,08,Agosto,Mes
MES,09,Septiembre,Mes
MES,10,Octubre,Mes
MES,11,Noviembre,Mes
MES,12,Diciembre,Mes
SEXO,1,Masculino,Sexo
SEXO,2,Femenino,Sexo
SEXO,3,Indeterminado,Sexo
AREA_RES,1,Cabecera municipal,Área residencia
AREA_RES,2,Centro poblado,Área residencia
AREA_RES,3,Rural disperso,Área residencia
AREA_RES,9,Sin información,Área residencia
SEG_SOCIAL,1,Contributivo,Régimen salud
SEG_SOCIAL,2,Subsidiado,Régimen salud
SEG_SOCIAL,3,Excepción,Régimen salud
SEG_SOCIAL,4,Especial,Régimen salud
SEG_SOCIAL,5,No asegurado,Régimen salud
