feature,importance
presion_obstetrica,0.2165206
tasa_mortalidad_fetal,0.19324699
apgar_bajo_promedio,0.10617868
camas_per_capita,0.10454694
total_defunciones,0.0927694
num_instituciones,0.058695495
total_nacimientos,0.057214513
pct_madres_adolescentes,0.05585502
pct_prematuro,0.04435784
pct_bajo_peso,0.029196307
pct_madres_edad_avanzada,0.022956708
consultas_promedio,0.010522171
pct_instituciones_publicas,0.005244202
edad_materna_promedio,0.0026951209
pct_bajo_nivel_educativo,0.0
pct_cesarea,0.0
pct_embarazo_multiple,0.0
pct_sin_seguridad_social,0.0
pct_area_rural,0.0
pct_regimen_subsidiado,0.0
pct_sin_control_prenatal,0.0
