feature,importance
presion_obstetrica,0.5582874
tasa_mortalidad_fetal,0.25172478
neonatal_x_sin_prenatal,0.076814376
log_nacimientos,0.035037648
pct_mortalidad_evitable,0.02240393
tasa_mortalidad_neonatal,0.015929414
num_instituciones,0.011661522
cobertura_prenatal,0.00928716
pct_educacion_baja,0.0063176155
pct_madres_adolescentes,0.003988464
consultas_promedio,0.0034618885
indice_riesgo_neonatal,0.001298374
total_nacimientos,0.0012812135
pct_bajo_peso,0.001151522
pct_prematuros,0.0006951573
pct_apgar_bajo,0.00036398304
pct_sin_control_prenatal,0.000295554
pct_cesareas,0.0
infraestructura_deficiente,0.0
