COD_DPTO,COD_MUNIC,NOMBRE_MUNICIPIO,LATITUD,LONGITUD
50,1,VILLAVICENCIO,4.142,-73.627
50,6,ACACIAS,3.988,-73.763
50,110,BARRANCA DE UPIA,4.512,-72.964
50,124,CABUYARO,4.29,-72.785
50,150,CASTILLA LA NUEVA,3.817,-73.683
50,223,CUMARAL,4.273,-73.483
50,226,CUBARRAL,3.777,-73.846
50,245,EL CALVARIO,4.358,-73.762
50,251,EL CASTILLO,3.597,-73.778
50,270,EL DORADO,3.598,-71.365
50,287,FUENTE DE ORO,3.458,-73.608
50,313,GRANADA,3.541,-73.709
50,318,GUAMAL,3.877,-73.766
50,325,MAPIRIPAN,2.889,-72.132
50,330,MESETAS,3.389,-73.995
50,350,LA MACARENA,2.178,-73.785
50,370,URIBE,2.736,-74.068
50,400,LEJANIAS,3.539,-74.012
50,450,PUERTO CONCORDIA,2.656,-72.764
50,568,PUERTO GAITAN,4.312,-72.085
50,573,PUERTO LOPEZ,4.091,-72.958
50,577,PUERTO LLERAS,3.27,-73.385
50,590,PUERTO RICO,2.944,-73.162
50,606,RESTREPO,4.262,-73.568
50,680,SAN CARLOS DE GUAROA,3.663,-73.248
50,683,SAN JUAN DE ARAMA,3.375,-73.873
50,686,SAN JUANITO,4.423,-73.683
50,689,SAN MARTIN,3.696,-73.698
50,711,VISTAHERMOSA,3.131,-73.721
81,1,ARAUCA,7.088,-70.759
81,65,ARAUQUITA,7.029,-71.43
81,220,CRAVO NORTE,6.317,-70.213
81,300,FORTUL,6.633,-71.85
81,591,PUERTO RONDON,6.288,-71.278
81,736,SARAVENA,6.958,-71.885
81,794,TAME,6.458,-71.733
85,1,YOPAL,5.339,-72.396
85,10,AGUAZUL,5.173,-72.548
85,15,CHAMEZA,4.925,-72.924
85,125,HATO COROZAL,6.161,-71.76
85,136,LA SALINA,5.375,-72.09
85,139,MANI,4.829,-72.3
85,162,MONTERREY,4.892,-72.89
85,225,NUNCHIA,5.667,-72.088
85,230,OROCUE,4.793,-71.341
85,250,PAZ DE ARIPORO,5.883,-71.894
85,263,PORE,5.693,-71.96
85,279,RECETOR,5.37,-72.7
85,300,SABANALARGA,5.388,-71.991
85,315,SACAMA,6.039,-72.002
85,325,SAN LUIS DE PALENQUE,5.412,-71.575
85,400,TAMARA,5.751,-71.765
85,410,TAURAMENA,5.016,-72.747
85,430,TRINIDAD,5.432,-71.665
85,440,VILLANUEVA,4.547,-72.951
95,1,San José del Guaviare,2.57,-72.636
95,15,Calamar,1.956,-72.633
95,25,El Retorno,2.335,-72.683
95,200,Miraflores,1.349,-71.96
97,1,MITU,1.253,-70.234
97,161,CARURU,1.047,-71.288
97,511,PACOA,0.494,-70.258
97,666,TARAIRA,0.617,-69.757
97,777,PAPUNAUA,0.85,-69.967
97,889,YAVARATE,-0.017,-69.15
99,1,PUERTO CARRENO,6.184,-67.486
99,524,LA PRIMAVERA,5.495,-68.567
99,624,SANTA ROSALIA,3.475,-67.763
99,773,CUMARIBO,4.057,-69.827
