COD_DPTO,COD_MUNIC,NOMBRE_MUNICIPIO
50,001,VILLAVICENCIO
50,006,ACACÍAS
50,110,BARRANCA DE UPÍA
50,124,CABUYARO
50,150,CASTILLA LA NUEVA
50,223,CUBARRAL
50,226,CUMARAL
50,245,EL CALVARIO
50,251,EL CASTILLO
50,270,EL DORADO
50,287,FUENTE DE ORO
50,313,GRANADA
50,318,GUAMAL
50,325,MAPIRIPÁN
50,330,MESETAS
50,350,LA MACARENA
50,370,URIBE
50,400,LEJANÍAS
50,450,PUERTO CONCORDIA
50,568,PUERTO GAITÁN
50,573,PUERTO LÓPEZ
50,577,PUERTO LLERAS
50,590,PUERTO RICO
50,606,RESTREPO
50,680,SAN CARLOS DE GUAROA
50,683,SAN JUAN DE ARAMA
50,686,SAN JUANITO
50,689,SAN MARTÍN
50,711,VISTAHERMOSA
81,001,ARAUCA
81,065,ARAUQUITA
81,220,CRAVO NORTE
81,300,FORTUL
81,591,PUERTO RONDÓN
81,736,SARAVENA
81,794,TAME
85,001,YOPAL
85,010,AGUAZUL
85,015,CHÁMEZA
85,125,HATO COROZAL
85,136,LA SALINA
85,139,MANÍ
85,162,MONTERREY
85,225,NUNCHÍA
85,230,OROCUÉ
85,250,PAZ DE ARIPORO
85,263,PORE
85,279,RECETOR
85,300,SABANALARGA
85,315,SÁCAMA
85,325,SAN LUIS DE PALENQUE
85,400,TÁMARA
85,410,TAURAMENA
85,430,TRINIDAD
85,440,VILLANUEVA
95,001,SAN JOSÉ DEL GUAVIARE
95,015,CALAMAR
95,025,EL RETORNO
95,200,MIRAFLORES
99,001,PUERTO CARREÑO
99,524,LA PRIMAVERA
99,624,SANTA ROSALÍA
99,773,CUMARIBO
